SSID 1,Lemmas 1,SSID 2,Lemmas 2,Accept
01911752-n,"Cnidaria, phylum Cnidaria, Coelenterata, phylum Coelenterata",01912063-n,"coelenterate, cnidarian",TRUE
01911752-n,"Cnidaria, phylum Cnidaria, Coelenterata, phylum Coelenterata",01912547-n,polyp,FALSE
01911752-n,"Cnidaria, phylum Cnidaria, Coelenterata, phylum Coelenterata",01912893-n,"medusa, medusoid, medusan",FALSE
01911752-n,"Cnidaria, phylum Cnidaria, Coelenterata, phylum Coelenterata",01913388-n,jellyfish,FALSE
01920951-n,"Ctenophora, phylum Ctenophora",01921385-n,"ctenophore, comb jelly",TRUE
01925812-n,"Acanthocephala, phylum Acanthocephala",01926045-n,"acanthocephalan, spiny-headed worm",TRUE
01926278-n,"Chaetognatha, phylum Chaetognatha",01926531-n,"arrowworm, chaetognath",TRUE
01927231-n,"Platyhelminthes, phylum Platyhelminthes",01927441-n,bladder worm,FALSE
01927231-n,"Platyhelminthes, phylum Platyhelminthes",01927557-n,"flatworm, platyhelminth",TRUE
01931001-n,"Nemertea, phylum Nemertea, Nemertina, phylum Nemertina",01931158-n,"ribbon worm, nemertean, nemertine, proboscis worm",TRUE
01931378-n,"Pogonophora, phylum Pogonophora",01931506-n,"beard worm, pogonophoran",TRUE
01931688-n,"Rotifera, phylum Rotifera",01931827-n,rotifer,TRUE
01932037-n,"Nematoda, phylum Nematoda, Aschelminthes, phylum Aschelminthes",01925358-n,"helminth, parasitic worm",FALSE
01932037-n,"Nematoda, phylum Nematoda, Aschelminthes, phylum Aschelminthes",01932753-n,"nematode, nematode worm, roundworm",TRUE
01936848-n,"Annelida, phylum Annelida",01937081-n,"annelid, annelid worm, segmented worm",TRUE
01943129-n,"Mollusca, phylum Mollusca",01943377-n,"mollusk, mollusc, shellfish",TRUE
02315847-n,"Phoronida, Phoronidea, phylum Phoronida",02316012-n,phoronid,TRUE
02316147-n,"Bryozoa, phylum Bryozoa, polyzoa",02316361-n,"bryozoan, polyzoan, sea mat, sea moss, moss animal",TRUE
02316653-n,"Ectoprocta, phylum Ectoprocta",02316810-n,ectoproct,TRUE
02316973-n,"Entoprocta, phylum Entoprocta, Endoprocta",02317144-n,entoproct,TRUE
02317961-n,"Brachiopoda, phylum Brachiopoda",02318139-n,"brachiopod, lamp shell, lampshell",TRUE
02318348-n,"Sipuncula, phylum Sipuncula",02318473-n,"peanut worm, sipunculid",TRUE
02319044-n,"Echinodermata, phylum Echinodermata",02319359-n,echinoderm,TRUE
01360900-n,"class Cyanobacteria, Cyanophyceae, class Cyanophyceae",01361213-n,"cyanobacteria, blue-green algae",TRUE
01392516-n,"Sarcodina, class Sarcodina",01392764-n,"sarcodinian, sarcodine",TRUE
01392928-n,"Actinopoda, subclass Actinopoda",01393107-n,actinopod,TRUE
01393815-n,"Rhizopoda, subclass Rhizopoda",01394032-n,"rhizopod, rhizopodan",TRUE
01397542-n,"Ciliata, class Ciliata, Ciliophora, class Ciliophora",01397895-n,"ciliate, ciliated protozoan, ciliophoran",TRUE
01398172-n,"Infusoria, subclass Infusoria",01398414-n,infusorian,TRUE
01403532-n,"Bacillariophyceae, class Bacillariophyceae, Diatomophyceae, class Diatomophyceae",01403747-n,diatom,TRUE
01404810-n,"Phaeophyceae, class Phaeophyceae",01405241-n,brown algae,TRUE
01418995-n,"Mastigophora, class Mastigophora, Flagellata, class Flagellata",01419226-n,"flagellate, flagellate protozoan, flagellated protozoan, mastigophoran, mastigophore",TRUE
01420878-n,"Zoomastigina, subclass Zoomastigina",01421261-n,"zoomastigote, zooflagellate",TRUE
01423296-n,"Phytomastigina, subclass Phytomastigina",01423501-n,plantlike flagellate,TRUE
01423805-n,"Cryptophyceae, class Cryptophyceae",01423974-n,"cryptomonad, cryptophyte",TRUE
01424137-n,"Sporozoa, class Sporozoa",01424448-n,sporozoan,TRUE
01471173-n,"Ascidiaceae, class Ascidiaceae",01471353-n,ascidian,TRUE
01471173-n,"Ascidiaceae, class Ascidiaceae",01473536-n,ascidian tadpole,FALSE
01472928-n,"Larvacea, class Larvacea",01473120-n,larvacean,TRUE
01476631-n,"Agnatha, superclass Agnatha",01476924-n,"jawless vertebrate, jawless fish, agnathan",TRUE
01482284-n,"Gnathostomata, superclass Gnathostomata",01482461-n,gnathostome,TRUE
01482578-n,"Placodermi, class Placodermi",01482747-n,placoderm,TRUE
01482977-n,"Chondrichthyes, class Chondrichthyes",01483157-n,"cartilaginous fish, chondrichthian",TRUE
