SSID 1,Lemmas 1,SSID 2,Lemmas 2,Accept
01791061-n,"Eurypterida, order Eurypterida",01791220-n,eurypterid,TRUE
01791705-n,"Galliformes, order Galliformes",01792027-n,"gallinaceous bird, gallinacean",TRUE
01813107-n,"Columbiformes, order Columbiformes",01813341-n,columbiform bird,TRUE
01819276-n,"Psittaciformes, order Psittaciformes",01819528-n,parrot,TRUE
01825064-n,"Cuculiformes, order Cuculiformes",01825243-n,cuculiform bird,TRUE
01828058-n,"Coraciiformes, order Coraciiformes",01828571-n,coraciiform bird,TRUE
01834160-n,"Apodiformes, order Apodiformes",01834353-n,apodiform bird,TRUE
01837343-n,"Caprimulgiformes, order Caprimulgiformes",01837559-n,caprimulgiform bird,TRUE
01840387-n,"Piciformes, order Piciformes",01840679-n,piciform bird,TRUE
01847913-n,"Anseriformes, order Anseriformes",01848118-n,anseriform bird,TRUE
01876767-n,"Marsupialia, order Marsupialia",01877075-n,"marsupial, pouched mammal",TRUE
01891161-n,"Insectivora, order Insectivora",01891715-n,insectivore,TRUE
01914913-n,"Siphonophora, order Siphonophora",01915095-n,siphonophore,TRUE
01917056-n,"Actiniaria, order Actiniaria, Actinaria, order Actinaria",01917250-n,"sea anemone, anemone",FALSE
01917056-n,"Actiniaria, order Actiniaria, Actinaria, order Actinaria",01917471-n,"actinia, actinian, actiniarian",TRUE
01918651-n,"Gorgonacea, suborder Gorgonacea, Gorgoniacea, suborder Gorgoniacea",01918828-n,"gorgonian, gorgonian coral",TRUE
01919379-n,"Madreporaria, order Madreporaria",01919566-n,"stony coral, madrepore, madriporian coral",TRUE
01922553-n,"Platyctenea, order Platyctenea",01922692-n,platyctenean,TRUE
01953098-n,"Nudibranchia, order Nudibranchia",01953372-n,"sea slug, nudibranch",TRUE
01956981-n,"Solenogastres, order Solenogastres, Aplacophora, order Aplacophora",01957157-n,"solenogaster, aplacophoran",TRUE
01972191-n,"Octopoda, order Octopoda",01972367-n,octopod,TRUE
01973507-n,"Decapoda, order Decapoda",01973735-n,decapod,TRUE
01978521-n,"Decapoda, order Decapoda",01978787-n,"decapod crustacean, decapod",FALSE
01979118-n,"Brachyura, suborder Brachyura",01979509-n,brachyuran,TRUE
01979118-n,"Brachyura, suborder Brachyura",01979598-n,crab,FALSE
01985123-n,"Reptantia, suborder Reptantia",01985291-n,lobster,TRUE
01991122-n,"Euphausiacea, order Euphausiacea",01991342-n,krill,TRUE
01992342-n,"Stomatopoda, order Stomatopoda",01992510-n,"stomatopod, stomatopod crustacean",TRUE
01992342-n,"Stomatopoda, order Stomatopoda",01992648-n,"mantis shrimp, mantis crab",FALSE
01993268-n,"Isopoda, order Isopoda",01993441-n,isopod,TRUE
01995170-n,"Amphipoda, order Amphipoda",01995427-n,amphipod,TRUE
02000090-n,"Branchiura, order Branchiura",02000259-n,fish louse,TRUE
02024092-n,"Charadriiformes, order Charadriiformes",02043159-n,coastal diving bird,TRUE
02024789-n,"Charadrii, suborder Charadrii",02025338-n,"shorebird, shore bird, limicoline bird",TRUE
02051168-n,"Gaviiformes, order Gaviiformes",02051352-n,gaviiform seabird,TRUE
02051953-n,"Podicipitiformes, order Podicipitiformes, Podicipediformes, order Podicipediformes, Colymbiformes, order Colymbiformes",02052186-n,podicipitiform seabird,TRUE
02057934-n,"Sphenisciformes, order Sphenisciformes",02058312-n,sphenisciform seabird,TRUE
02060132-n,"Procellariiformes, order Procellariiformes",02060552-n,procellariiform seabird,TRUE
02064862-n,"Cetacea, order Cetacea",02065083-n,"cetacean, cetacean mammal, blower",TRUE
02065644-n,"Mysticeti, suborder Mysticeti",02065877-n,"baleen whale, whalebone whale",TRUE
02069103-n,"Odontoceti, suborder Odontoceti",02069360-n,toothed whale,TRUE
02075693-n,"Sirenia, order Sirenia",02075902-n,"sea cow, sirenian mammal, sirenian",TRUE
02077567-n,"Carnivora, order Carnivora",02077948-n,carnivore,TRUE
02078379-n,"Pinnipedia, suborder Pinnipedia",02078579-n,"pinniped mammal, pinniped, pinnatiped",TRUE
02141573-n,"Chiroptera, order Chiroptera",02141851-n,"bat, chiropteran",TRUE
02142131-n,"Megachiroptera, suborder Megachiroptera",02142323-n,"fruit bat, megabat",TRUE
02143622-n,"Microchiroptera, suborder Microchiroptera",02143958-n,"carnivorous bat, microbat",TRUE
02164596-n,"Mecoptera, order Mecoptera",02164887-n,mecopteran,TRUE
02165796-n,"Collembola, order Collembola",02165949-n,"collembolan, springtail",TRUE
02166268-n,"Protura, order Protura",02166415-n,"proturan, telsontail",TRUE
02166634-n,"Coleoptera, order Coleoptera",02167116-n,beetle,TRUE
02186005-n,"Embioptera, order Embioptera, Embiodea, order Embiodea",02186159-n,web spinner,TRUE
02186349-n,"Anoplura, order Anoplura",02186509-n,"louse, sucking louse",TRUE
02187989-n,"Mallophaga, order Mallophaga",02188133-n,"bird louse, biting louse, louse",TRUE
02188625-n,"Siphonaptera, order Siphonaptera",02188805-n,flea,TRUE
02190717-n,"Diptera, order Diptera",02191351-n,"dipterous insect, two-winged insects, dipteran, dipteron",TRUE
02190717-n,"Diptera, order Diptera",02192818-n,fly,FALSE
02208548-n,"Hymenoptera, order Hymenoptera",02208922-n,"hymenopterous insect, hymenopteran, hymenopteron, hymenopter",TRUE
02225370-n,"Isoptera, order Isoptera",02225918-n,"termite, white ant",TRUE
02228611-n,"Orthoptera, order Orthoptera",02228835-n,"orthopterous insect, orthopteron, orthopteran",TRUE
02233434-n,"Phasmida, order Phasmida, Phasmatodea, order Phasmatodea",02233704-n,"phasmid, phasmid insect",TRUE
02235258-n,"Dictyoptera, order Dictyoptera",02235603-n,dictyopterous insect,TRUE
02235748-n,"Blattodea, suborder Blattodea, Blattaria, suborder Blattaria",02235990-n,"cockroach, roach",TRUE
02239147-n,"Hemiptera, order Hemiptera",02239548-n,"hemipterous insect, bug, hemipteran, hemipteron",TRUE
02243836-n,"Heteroptera, suborder Heteroptera",02244221-n,heteropterous insect,TRUE
02248244-n,"Homoptera, suborder Homoptera",02248663-n,"homopterous insect, homopteran",FALSE
02262835-n,"Psocoptera, order Psocoptera, Corrodentia, order Corrodentia",02263073-n,psocopterous insect,TRUE
02264535-n,"Ephemeroptera, order Ephemeroptera, Ephemerida, order Ephemerida",02264830-n,"ephemerid, ephemeropteran",TRUE
02265331-n,"Plecoptera, order Plecoptera",02265455-n,"stonefly, stone fly, plecopteran",TRUE
02265690-n,"Neuroptera, order Neuroptera",02266030-n,"neuropteron, neuropteran, neuropterous insect",TRUE
02270627-n,"Odonata, order Odonata",02270800-n,odonate,TRUE
02271667-n,"Trichoptera, order Trichoptera",02271848-n,"trichopterous insect, trichopteran, trichopteron",TRUE
02271667-n,"Trichoptera, order Trichoptera",02272309-n,"caddisworm, strawworm",FALSE
02272481-n,"Thysanura, order Thysanura",02272663-n,"thysanuran insect, thysanuron",TRUE
02274079-n,"Thysanoptera, order Thysanoptera",02274222-n,"thysanopter, thysanopteron, thysanopterous insect",TRUE
02275359-n,"Dermaptera, order Dermaptera",02275523-n,earwig,TRUE
02276197-n,"Lepidoptera, order Lepidoptera",02276676-n,"lepidopterous insect, lepidopteron, lepidopteran",TRUE
02276197-n,"Lepidoptera, order Lepidoptera",02311989-n,caterpillar,FALSE
02322075-n,"Exocycloida, order Exocycloida",02322207-n,sand dollar,TRUE
02322341-n,"Spatangoida, order Spatangoida",02322481-n,heart urchin,TRUE
02325838-n,"Lagomorpha, order Lagomorpha",02326101-n,"lagomorph, gnawing mammal",TRUE
02331745-n,"Rodentia, order Rodentia",02332053-n,"rodent, gnawer",TRUE
02331745-n,"Rodentia, order Rodentia",02372332-n,naked mole rat,FALSE
02375745-n,"Perissodactyla, order Perissodactyla",02375988-n,"odd-toed ungulate, perissodactyl, perissodactyl mammal",TRUE
02396720-n,"Artiodactyla, order Artiodactyla",02397129-n,"even-toed ungulate, artiodactyl, artiodactyl mammal",TRUE
02401384-n,"Ruminantia, suborder Ruminantia",02401652-n,ruminant,TRUE
02456004-n,"Edentata, order Edentata",02456242-n,edentate,TRUE
02472219-n,"Primates, order Primates",02472545-n,primate,TRUE
02473082-n,"Anthropoidea, suborder Anthropoidea",02473530-n,anthropoid ape,TRUE
02498420-n,"Prosimii, suborder Prosimii",02498683-n,prosimian,TRUE
02499207-n,"Lemuroidea, suborder Lemuroidea",02499544-n,lemur,TRUE
02505533-n,"Proboscidea, order Proboscidea",02505758-n,"proboscidean, proboscidian",TRUE
02519800-n,"Siluriformes, order Siluriformes",02520073-n,"catfish, siluriform fish",TRUE
02528497-n,"Anguilliformes, order Anguilliformes, order Apodes",02528752-n,eel,TRUE
02554455-n,"Acanthopterygii, superorder Acanthopterygii",02554802-n,"spiny-finned fish, acanthopterygian",TRUE
02555827-n,"Perciformes, order Perciformes, Percomorphi, order Percomorphi",02557361-n,"percoid fish, percoid, percoidean",TRUE
02555827-n,"Perciformes, order Perciformes, Percomorphi, order Percomorphi",02558494-n,perch,FALSE
02555827-n,"Perciformes, order Perciformes, Percomorphi, order Percomorphi",02565813-n,"freshwater bream, bream",FALSE
02555827-n,"Perciformes, order Perciformes, Percomorphi, order Percomorphi",02593332-n,"sea bream, bream",FALSE
02615023-n,"Blennioidea, suborder Blennioidea",02615287-n,"blennioid fish, blennioid",TRUE
02625800-n,"Scombroidea, suborder Scombroidea",02626075-n,"scombroid, scombroid fish",TRUE
02640953-n,"Ganoidei, order Ganoidei",02641226-n,"ganoid, ganoid fish",TRUE
02644455-n,"Scorpaenoidea, suborder Scorpaenoidea",02644737-n,"scorpaenoid, scorpaenoid fish",TRUE
02654965-n,"Plectognathi, order Plectognathi, order Tetraodontiformes",02655298-n,"plectognath, plectognath fish",TRUE
02659713-n,"Heterosomata, order Heterosomata, order Pleuronectiformes",02659998-n,flatfish,TRUE
01370071-n,"Enterobacteriaceae, family Enterobacteriaceae",01370413-n,"enteric bacteria, enterobacteria, enterics, entric",TRUE
01373733-n,"Rickettsiaceae, family Rickettsiaceae",01374124-n,rickettsia,TRUE
01396245-n,"Nummulitidae, family Nummulitidae",01396394-n,nummulite,TRUE
01406770-n,"Fucaceae, family Fucaceae",01407006-n,"fucoid, fucoid algae",TRUE
01406770-n,"Fucaceae, family Fucaceae",01407269-n,rockweed,FALSE
01412750-n,"Zygnemataceae, family Zygnemataceae",01413098-n,pond scum,TRUE
01415120-n,"Characeae, family Characeae",01415335-n,stonewort,TRUE
01420448-n,"Peridiniidae, family Peridiniidae",01420755-n,peridinian,TRUE
01427248-n,"Haemoproteidae, family Haemoproteidae",01427423-n,haemoproteid,TRUE
01427977-n,"Babesiidae, family Babesiidae",01428275-n,piroplasm,TRUE
01441102-n,"Cobitidae, family Cobitidae",01441222-n,loach,TRUE
01441361-n,"Cyprinidae, family Cyprinidae",01441762-n,"cyprinid, cyprinid fish",TRUE
01441361-n,"Cyprinidae, family Cyprinidae",01442155-n,carp,FALSE
01447161-n,"Catostomidae, family Catostomidae",01447424-n,catostomid,TRUE
01447161-n,"Catostomidae, family Catostomidae",01447563-n,sucker,FALSE
01448924-n,"Cyprinodontidae, family Cyprinodontidae",01449230-n,cyprinodont,TRUE
01451408-n,"Poeciliidae, family Poeciliidae",01451592-n,"topminnow, poeciliid fish, poeciliid, live-bearer",TRUE
01452922-n,"Holocentridae, family Holocentridae",01453302-n,squirrelfish,TRUE
01455274-n,"Zeidae, family Zeidae",01455439-n,dory,TRUE
01457343-n,"Gasterosteidae, family Gasterosteidae",01457497-n,"stickleback, prickleback",TRUE
01458233-n,"Syngnathidae, family Syngnathidae",01458419-n,"pipefish, needlefish",TRUE
01459580-n,"Macrorhamphosidae, family Macrorhamphosidae",01459723-n,"snipefish, bellows fish",TRUE
01459917-n,"Centriscidae, family Centriscidae",01460048-n,"shrimpfish, shrimp-fish",TRUE
01480014-n,"Petromyzontidae, family Petromyzontidae",01480166-n,"lamprey, lamprey eel, lamper eel",TRUE
01480941-n,"Myxinidae, family Myxinidae",01481152-n,"hagfish, hag, slime eels",TRUE
01485829-n,"Lamnidae, family Lamnidae",01486163-n,mackerel shark,TRUE
01490875-n,"Scyliorhinidae, family Scyliorhinidae",01491026-n,cat shark,TRUE
01491180-n,"Carcharhinidae, family Carcharhinidae",01491559-n,requiem shark,TRUE
01494632-n,"Triakidae, family Triakidae",01494998-n,smooth dogfish,TRUE
01496007-n,"Squalidae, family Squalidae",01496182-n,spiny dogfish,TRUE
01498840-n,"Torpedinidae, family Torpedinidae",01498972-n,"electric ray, crampfish, numbfish, torpedo",TRUE
01499585-n,"Pristidae, family Pristidae",01499759-n,sawfish,TRUE
01500220-n,"Rhinobatidae, family Rhinobatidae",01500379-n,guitarfish,TRUE
01500519-n,"Dasyatidae, family Dasyatidae",01500682-n,stingray,TRUE
01501463-n,"Myliobatidae, family Myliobatidae",01501630-n,eagle ray,TRUE
01502539-n,"Mobulidae, family Mobulidae",01502732-n,"manta, manta ray, devilfish",TRUE
01503636-n,"Rajidae, family Rajidae",01503801-n,skate,TRUE
02520399-n,"Siluridae, family Siluridae",02520569-n,"silurid, silurid fish",TRUE
02523022-n,"Laricariidae, family Laricariidae",02523156-n,armored catfish,TRUE
02523300-n,"Ariidae, family Ariidae",02523441-n,sea catfish,TRUE
02524547-n,"Gadidae, family Gadidae",02524277-n,"gadoid, gadoid fish",TRUE
02528174-n,"Macrouridae, family Macrouridae, Macruridae, family Macruridae",02528334-n,"grenadier, rattail, rattail fish",TRUE
02529776-n,"Muraenidae, family Muraenidae",02529902-n,"moray, moray eel",TRUE
02530129-n,"Congridae, family Congridae",02530253-n,"conger, conger eel",TRUE
02532146-n,"Clupeidae, family Clupeidae",02532403-n,"clupeid fish, clupeid",TRUE
02536339-n,"Engraulidae, family Engraulidae",02536465-n,anchovy,TRUE
02536983-n,"Salmonidae, family Salmonidae",02537190-n,salmonid,TRUE
02536983-n,"Salmonidae, family Salmonidae",02537365-n,salmon,FALSE
02541361-n,"Coregonidae, family Coregonidae",02541616-n,whitefish,TRUE
02542886-n,"Osmeridae, family Osmeridae",02543043-n,smelt,TRUE
02545724-n,"Myctophidae, family Myctophidae",02545886-n,lanternfish,TRUE
02546043-n,"Synodontidae, family Synodontidae",02546196-n,"lizardfish, snakefish, snake-fish",TRUE
02546368-n,"Chlorophthalmidae, family Chlorophthalmidae",02546583-n,greeneye,TRUE
02548808-n,"Trachipteridae, family Trachipteridae",02548962-n,ribbonfish,TRUE
02550193-n,"Ogcocephalidae, family Ogcocephalidae",02550364-n,batfish,TRUE
02551621-n,"Antennariidae, family Antennariidae",02551879-n,frogfish,FALSE
02551621-n,"Antennariidae, family Antennariidae",02552007-n,sargassum fish,FALSE
02552427-n,"Belonidae, family Belonidae",02552620-n,"needlefish, gar, billfish",TRUE
02552927-n,"Exocoetidae, family Exocoetidae",02553091-n,flying fish,TRUE
02553546-n,"Hemiramphidae, family Hemiramphidae",02553765-n,halfbeak,TRUE
02559254-n,"Percidae, family Percidae",02559477-n,perch,TRUE
02560981-n,"Trichodontidae, family Trichodontidae",02561191-n,sandfish,TRUE
02561355-n,"Ophidiidae, family Ophidiidae",02561491-n,cusk-eel,TRUE
02561611-n,"Brotulidae, family Brotulidae",02561775-n,brotula,TRUE
02561863-n,"Carapidae, family Carapidae",02562014-n,"pearlfish, pearl-fish",TRUE
02562237-n,"Centropomidae, family Centropomidae",02562493-n,robalo,FALSE
02562237-n,"Centropomidae, family Centropomidae",02562741-n,snook,FALSE
02564716-n,"Centrarchidae, family Centrarchidae",02564946-n,"sunfish, centrarchid",TRUE
02564716-n,"Centrarchidae, family Centrarchidae",02566901-n,freshwater bass,FALSE
02568359-n,"Serranidae, family Serranidae",02568740-n,"serranid fish, serranid",TRUE
02568359-n,"Serranidae, family Serranidae",02569465-n,sea bass,FALSE
02573279-n,"Embiotocidae, family Embiotocidae",02573469-n,"surfperch, surffish, surf fish",TRUE
02574614-n,"Apogonidae, family Apogonidae",02574827-n,cardinalfish,TRUE
02577282-n,"Echeneididae, family Echeneididae, family Echeneidae",02577541-n,"remora, suckerfish, sucking fish",TRUE
02578397-n,"Carangidae, family Carangidae",02578854-n,"carangid fish, carangid",TRUE
02578397-n,"Carangidae, family Carangidae",02579206-n,jack,FALSE
02578397-n,"Carangidae, family Carangidae",02582967-n,scad,FALSE
02584434-n,"Coryphaenidae, family Coryphaenidae",02584588-n,"dolphinfish, dolphin, mahimahi",TRUE
02585550-n,"Branchiostegidae, family Branchiostegidae",02585727-n,"blanquillo, tilefish",TRUE
02585842-n,"Characidae, family Characidae",02586198-n,"characin, characin fish, characid",TRUE
02588363-n,"Cichlidae, family Cichlidae",02588503-n,"cichlid, cichlid fish",TRUE
02589013-n,"Lutjanidae, family Lutjanidae",02589174-n,snapper,TRUE
02590738-n,"Haemulidae, family Haemulidae",02590916-n,grunt,TRUE
02592867-n,"Sparidae, family Sparidae",02593125-n,"sparid, sparid fish",TRUE
02596493-n,"Sciaenidae, family Sciaenidae",02596880-n,"sciaenid fish, sciaenid",TRUE
02602414-n,"Mullidae, family Mullidae",02602588-n,mullet,TRUE
02603830-n,"Mugilidae, family Mugilidae",02603974-n,"mullet, grey mullet, gray mullet",TRUE
02604845-n,"Atherinidae, family Atherinidae",02605035-n,"silversides, silverside",TRUE
02606367-n,"Pempheridae, family Pempheridae",02606492-n,sweeper,TRUE
02606644-n,"Kyphosidae, family Kyphosidae",02606787-n,sea chub,TRUE
02607769-n,"Chaetodontidae, family Chaetodontidae",02607946-n,butterfly fish,TRUE
02608824-n,"Pomacentridae, family Pomacentridae",02609014-n,"damselfish, demoiselle",TRUE
02613171-n,"Scaridae, family Scaridae",02613294-n,"parrotfish, polly fish, pollyfish",TRUE
02613464-n,"Polynemidae, family Polynemidae",02613610-n,threadfin,TRUE
02614055-n,"Opisthognathidae, family Opisthognathidae",02614191-n,jawfish,TRUE
02614397-n,"Uranoscopidae, family Uranoscopidae",02614528-n,stargazer,TRUE
02614676-n,"Dactyloscopidae, family Dactyloscopidae",02614797-n,sand stargazer,TRUE
02615612-n,"Blenniidae, family Blenniidae",02615811-n,"blenny, combtooth blenny",TRUE
02616590-n,"Clinidae, family Clinidae",02616770-n,"clinid, clinid fish",TRUE
02617418-n,"Pholidae, family Pholidae, family Pholididae",02617608-n,"gunnel, bracketed blenny",TRUE
02619659-n,"Zoarcidae, family Zoarcidae",02619837-n,"eelpout, pout",TRUE
02621327-n,"Callionymidae, family Callionymidae",02621457-n,dragonet,TRUE
02621659-n,"Gobiidae, family Gobiidae",02621795-n,"goby, gudgeon",TRUE
02622368-n,"Eleotridae, family Eleotridae",02622491-n,"sleeper, sleeper goby",TRUE
02622663-n,"Percophidae, family Percophidae",02622797-n,flathead,TRUE
02623456-n,"Microdesmidae, family Microdesmidae",02623586-n,worm fish,TRUE
02623737-n,"Acanthuridae, family Acanthuridae",02623888-n,surgeonfish,TRUE
02624351-n,"Gempylidae, family Gempylidae",02624538-n,gempylid,TRUE
02625453-n,"Trichiuridae, family Trichiuridae",02625585-n,"cutlassfish, frost fish, hairtail",TRUE
02626498-n,"Scombridae, family Scombridae",02626797-n,mackerel,TRUE
02632682-n,"Istiophoridae, family Istiophoridae",02632911-n,sailfish,TRUE
02632682-n,"Istiophoridae, family Istiophoridae",02633369-n,billfish,TRUE
02635324-n,"Stromateidae, family Stromateidae",02635619-n,"butterfish, stromateid fish, stromateid",TRUE
02637940-n,"Gobiesocidae, family Gobiesocidae",02638210-n,clingfish,TRUE
02639296-n,"Gerreidae, family Gerreidae, Gerridae, family Gerridae",02639484-n,mojarra,TRUE
02642723-n,"Acipenseridae, family Acipenseridae",02642872-n,sturgeon,TRUE
02645060-n,"Scorpaenidae, family Scorpaenidae",02645274-n,"scorpaenid, scorpaenid fish",TRUE
02647597-n,"Cottidae, family Cottidae",02647934-n,sculpin,TRUE
02650133-n,"Agonidae, family Agonidae",02650290-n,"poacher, sea poacher, sea poker",TRUE
02651086-n,"Hexagrammidae, family Hexagrammidae",02651255-n,greenling,TRUE
02652030-n,"Platycephalidae, family Platycephalidae",02652176-n,flathead,TRUE
02652319-n,"Triglidae, family Triglidae",02652680-n,gurnard,TRUE
02654476-n,"Dactylopteridae, family Dactylopteridae",02654762-n,"flying gurnard, flying robin, butterflyfish",TRUE
02655609-n,"Balistidae, family Balistidae",02655775-n,triggerfish,FALSE
02655609-n,"Balistidae, family Balistidae",02656416-n,filefish,FALSE
02656886-n,"Ostraciidae, family Ostraciidae, family Ostraciontidae",02657055-n,"boxfish, trunkfish",TRUE
02657520-n,"Tetraodontidae, family Tetraodontidae",02657650-n,"puffer, pufferfish, blowfish, globefish",TRUE
02657985-n,"Diodontidae, family Diodontidae",02658153-n,spiny puffer,TRUE
02660435-n,"Pleuronectidae, family Pleuronectidae",02660709-n,"righteye flounder, righteyed flounder",TRUE
02663399-n,"Bothidae, family Bothidae",02663647-n,"lefteye flounder, lefteyed flounder",TRUE
02665982-n,"Cynoglossidae, family Cynoglossidae",02666115-n,"tonguefish, tongue-fish",TRUE
02666287-n,"Soleidae, family Soleidae",02666479-n,sole,TRUE
01525430-n,"Dinornithidae, family Dinornithidae",01525746-n,moa,TRUE
01529276-n,"Meliphagidae, family Meliphagidae",01529407-n,"honey eater, honeysucker",TRUE
01530121-n,"Alaudidae, family Alaudidae",01530258-n,lark,TRUE
01531677-n,"Fringillidae, family Fringillidae",01532313-n,finch,TRUE
01541416-n,"Coerebidae, family Coerebidae, Dacninae, family Dacninae",01541596-n,honeycreeper,TRUE
01542018-n,"Passeridae, family Passeridae",01542214-n,"sparrow, true sparrow",TRUE
01545208-n,"Ploceidae, family Ploceidae",01545427-n,"weaver, weaverbird, weaver finch",TRUE
01548989-n,"Eurylaimidae, family Eurylaimidae",01549147-n,broadbill,TRUE
01550100-n,"Tyrannidae, superfamily Tyrannidae",01550473-n,"New World flycatcher, flycatcher, tyrant flycatcher, tyrant bird",TRUE
01555597-n,"Formicariidae, family Formicariidae",01555783-n,"antbird, ant bird",TRUE
01556780-n,"Dendrocolaptidae, family Dendrocolaptidae",01557089-n,"woodhewer, woodcreeper, wood-creeper, tree creeper",TRUE
01558227-n,"Muscicapidae, family Muscicapidae",01558450-n,"Old World flycatcher, true flycatcher, flycatcher",TRUE
01559312-n,"Turdidae, family Turdidae",01559826-n,thrush,TRUE
01565225-n,"Sylviidae, family Sylviidae",01567035-n,"Old World warbler, true warbler",TRUE
01569529-n,"Parulidae, family Parulidae",01569774-n,"New World warbler, wood warbler",TRUE
01573610-n,"Paradisaeidae, family Paradisaeidae",01573767-n,bird of paradise,TRUE
01578218-n,"Oriolidae, family Oriolidae",01578386-n,"Old World oriole, oriole",TRUE
01579147-n,"Sturnidae, family Sturnidae",01579336-n,starling,TRUE
01580982-n,"Corvidae, family Corvidae",01581216-n,corvine bird,TRUE
01582509-n,"Garrulinae, subfamily Garrulinae",01582718-n,jay,TRUE
01586645-n,"Troglodytidae, family Troglodytidae",01586866-n,"wren, jenny wren",TRUE
01590813-n,"Xenicidae, family Xenicidae, Acanthisittidae, family Acanthisittidae",01591072-n,New Zealand wren,TRUE
01591766-n,"Certhiidae, family Certhiidae",01591927-n,"creeper, tree creeper",TRUE
01593084-n,"Sittidae, family Sittidae",01593224-n,"nuthatch, nutcracker",TRUE
01594131-n,"Paridae, family Paridae",01594338-n,"titmouse, tit",TRUE
01599835-n,"Thraupidae, family Thraupidae",01599977-n,tanager,TRUE
01601073-n,"Laniidae, family Laniidae",01601229-n,shrike,TRUE
01602560-n,"Malaconotinae, subfamily Malaconotinae",01602726-n,bush shrike,TRUE
01603121-n,"Ptilonorhynchidae, family Ptilonorhynchidae",01603298-n,"bowerbird, catbird",TRUE
01604191-n,"Cinclidae, family Cinclidae",01604335-n,"water ouzel, dipper",TRUE
01607760-n,"Accipitridae, family Accipitridae",01608271-n,hawk,FALSE
01607760-n,"Accipitridae, family Accipitridae",01611073-n,kite,FALSE
01607760-n,"Accipitridae, family Accipitridae",01615935-n,"eagle, bird of Jove",FALSE
01607760-n,"Accipitridae, family Accipitridae",01619405-n,Old World vulture,TRUE
01613399-n,"Falconidae, family Falconidae",01613596-n,falcon,TRUE
01621312-n,"Cathartidae, family Cathartidae",01621563-n,"New World vulture, cathartid",TRUE
01797454-n,"Tetraonidae, family Tetraonidae",01797729-n,grouse,TRUE
01801727-n,"Cracidae, family Cracidae",01801943-n,guan,TRUE
01803400-n,"Megapodiidae, family Megapodiidae",01803729-n,"megapode, mound bird, mound-bird, mound builder, scrub fowl",TRUE
01804950-n,"Phasianidae, family Phasianidae",01805362-n,phasianid,TRUE
01809906-n,"Perdicidae, subfamily Perdicidae, Perdicinae, subfamily Perdicinae",01810137-n,partridge,TRUE
01812773-n,"Tinamidae, family Tinamidae",01812909-n,"tinamou, partridge",TRUE
01814323-n,"Columbidae, family Columbidae",01814550-n,pigeon,TRUE
01818072-n,"Pteroclididae, family Pteroclididae",01818242-n,"sandgrouse, sand grouse",TRUE
01822831-n,"Loriinae, subfamily Loriinae",01822989-n,lory,TRUE
01825414-n,"Cuculidae, family Cuculidae",01825654-n,cuckoo,TRUE
01827650-n,"Musophagidae, family Musophagidae",01827919-n,"touraco, turaco, turacou, turakoo",TRUE
01828864-n,"Coraciidae, family Coraciidae",01829005-n,roller,TRUE
01829639-n,"Alcedinidae, family Alcedinidae",01830044-n,kingfisher,TRUE
01831355-n,"Meropidae, family Meropidae",01831611-n,bee eater,TRUE
01831784-n,"Bucerotidae, family Bucerotidae",01832054-n,hornbill,TRUE
01832243-n,"Upupidae, family Upupidae",01832510-n,"hoopoe, hoopoo",TRUE
01833264-n,"Momotidae, family Momotidae",01833556-n,"motmot, momot",TRUE
01834571-n,"Apodidae, family Apodidae",01834808-n,swift,TRUE
01835924-n,"Hemiprocnidae, family Hemiprocnidae",01836056-n,"tree swift, crested swift",TRUE
01836260-n,"Trochilidae, family Trochilidae",01836446-n,hummingbird,TRUE
01837728-n,"Caprimulgidae, family Caprimulgidae",01837917-n,"goatsucker, nightjar, caprimulgid",TRUE
01839450-n,"Podargidae, family Podargidae",01839713-n,frogmouth,TRUE
01840967-n,"Picidae, family Picidae",01841239-n,"woodpecker, peckerwood, pecker",TRUE
01844752-n,"Capitonidae, family Capitonidae",01844876-n,barbet,TRUE
01845021-n,"Bucconidae, family Bucconidae",01845145-n,puffbird,TRUE
01845296-n,"Indicatoridae, family Indicatoridae",01845429-n,honey guide,TRUE
01845583-n,"Galbulidae, family Galbulidae",01845706-n,jacamar,TRUE
01845879-n,"Ramphastidae, family Ramphastidae",01846024-n,toucan,TRUE
01846573-n,"Trogonidae, family Trogonidae",01846872-n,trogon,TRUE
01848268-n,"Anatidae, family Anatidae",01848972-n,duck,FALSE
01848268-n,"Anatidae, family Anatidae",01858313-n,goose,FALSE
01848268-n,"Anatidae, family Anatidae",01861082-n,swan,FALSE
01862978-n,"Anhimidae, family Anhimidae",01863138-n,screamer,TRUE
02004475-n,"Ciconiidae, family Ciconiidae",02004729-n,stork,TRUE
02008252-n,"Threskiornithidae, family Threskiornithidae, family Ibidiidae",02008444-n,ibis,TRUE
02009164-n,"Plataleidae, family Plataleidae",02009310-n,spoonbill,TRUE
02010076-n,"Phoenicopteridae, family Phoenicopteridae",02010212-n,flamingo,TRUE
02010375-n,"Ardeidae, family Ardeidae",02010695-n,heron,TRUE
02015369-n,"Gruidae, family Gruidae",02015503-n,crane,TRUE
02017300-n,"Rallidae, family Rallidae",02017595-n,rail,TRUE
02021292-n,"Otididae, family Otididae",02021449-n,bustard,TRUE
02025787-n,"Charadriidae, family Charadriidae",02025995-n,plover,TRUE
02028184-n,"Scolopacidae, family Scolopacidae",02028713-n,sandpiper,TRUE
02039932-n,"Phalaropidae, family Phalaropidae",02040118-n,phalarope,TRUE
